k,log_likelihood,perplexity
3,-156285.63690704224,2139.23290059168
4,-159052.43893919696,2450.2775288889534
5,-161267.43813514552,2731.581945004814
6,-163191.731942356,3002.0547555656567
7,-165267.79490171233,3323.9692862545176
8,-167423.00389141843,3694.7231475727303
9,-169520.4133973191,4095.2004433091943
10,-170945.36719865806,4391.766151518055
