term_a,term_b,pmi,co_occurrence_count
consideration,within,0.09278173345096608,12
critical,density,0.08611504209277686,23
critical,disparity,1.0925934373749826,10
critical,distance,0.09363679977069951,15
critical,dynamic,0.2699881895781503,6
critical,ensuring,0.7689793556971384,6
critical,environment,0.17793004516020275,30
critical,equitable,1.084496227142363,15
critical,equity,0.9396048727279015,9
critical,facility,0.48867739054298,14
critical,focus,0.48867739054298,20
critical,general,0.08766663278419579,5
critical,higher,0.01867376129724402,11
critical,highlighting,0.7808138133441411,5
critical,identify,0.1899454819046141,9
critical,identifying,1.0898870757772396,9
critical,inclusive,0.8410326733371957,11
critical,increasingly,1.0513280821735564,11
critical,inform,0.9775241075901954,5
critical,infrastructure,0.4179083196547726,20
critical,intervention,0.03266000327198424,6
critical,limitation,0.7689793556971384,6
critical,mobility,0.2430435543346982,17
critical,model,0.012943086588259194,29
critical,need,0.2464576921679564,27
critical,offer,0.6472824207196185,15
critical,policy,0.14215481806826558,33
critical,proximity-based,1.491979499406765,8
critical,public,0.1240342769550706,30
critical,reduced,0.739991818823886,6
critical,remains,0.9995030143089706,8
critical,risk,0.39944625681503726,5
critical,spatial,0.27296881771628817,36
critical,station,0.3288286896010841,5
critical,threshold,0.5021004108751207,5
critical,walkable,0.21441833842333974,15
critical,walking,0.25538939015699763,17
critical,within,0.2869377478919236,34
critical,zone,0.8941424986511441,10
demographic,disparity,1.516077050985825,6
demographic,dynamic,1.358448106782242,7
demographic,environment,0.195948550662881,12
demographic,higher,0.6345292675555428,8
demographic,identify,0.718789611173283,6
demographic,infrastructure,0.30239543253292817,7
demographic,lower,0.7568681197477871,5
demographic,mobility,0.2900495967106288,7
demographic,model,0.14490585144015525,13
demographic,objective,0.5147280677429225,5
demographic,offer,0.4829793694283421,5
demographic,population,0.6614022858066393,16
demographic,public,0.055041405468119045,11
demographic,resident,0.3514030116396228,10
demographic,spatial,0.10866576642501162,12
demographic,walkable,0.2324368439260179,6
demographic,walking,0.30239543253292817,7
demographic,within,0.4674751828923768,16
density,develop,0.0952267224440327,21
density,distance,0.2887955033253349,56
density,environment,0.06130912468399674,82
density,equitable,0.08751658401806538,17
density,equity,0.259294838928637,14
density,evaluates,0.21828681520126017,10
density,focus,0.22094993262074367,47
density,focused,0.04643655827460081,10
density,gis-based,0.28282533633883117,7
density,half,0.4651468931327858,8
density,higher,0.7181434075966765,68
density,highlighting,0.35181820782578277,10
density,identify,0.04863194883803638,24
density,inform,0.03770287830584605,6
density,infrastructure,0.013605326726785674,41
density,intervention,0.25425196389477517,23
density,link,0.2287581150685554,12
density,lower,0.13550062158197265,21
density,model,0.1582334587531172,103
density,offer,0.1492939437143085,28
density,older,0.0596817850246214,8
density,policy,0.07738136212402227,95
density,population,0.5772936684749712,115
density,public,0.03151090805792518,84
density,reduced,0.2239848363158977,11
density,remains,0.1005037795448767,10
density,resident,0.052808905736859264,58
density,risk,0.06576083110100377,11
density,share,0.21136637235668645,9
density,site,0.24200334181857613,16
density,spatial,0.02165438943538218,86
density,strongly,0.37813551614315594,11
density,threshold,0.409577041977975,14
density,vehicle,0.44534426583660613,20
develop,distance,0.12472738684073056,14
develop,dynamic,0.5242223279623912,7
develop,environment,0.17265298805935914,27
develop,equitable,0.5559710262769715,8
develop,evaluates,0.7473658792766011,5
develop,facility,0.14692809682092328,9
develop,focus,0.07793522533397182,12
develop,higher,0.023447040049901988,10
develop,identify,0.6577537205869138,13
develop,identifying,0.6021838694321032,5
develop,inclusive,0.7404454364320273,9
develop,increasingly,0.6994264169874819,7
develop,intervention,0.1327434618289667,6
develop,lower,0.10496389772189084,6
develop,model,0.3292496536148779,36
develop,need,0.2287581150685554,24
develop,objective,0.4689596492873417,11
develop,offer,0.23654025551061034,9
develop,policy,0.24223827662524805,33
develop,population,0.19008200067615702,23
develop,public,0.04179617871809876,25
develop,reduced,0.657753720586914,5
develop,remains,0.811904400414172,6
develop,spatial,0.12173784799236469,28
develop,threshold,0.6021838694321032,5
develop,vehicle,0.46359770614595647,6
develop,walkable,0.004346868676482743,11
disparity,distance,0.04874147986280866,7
disparity,dynamic,0.8049113649232017,5
disparity,ensuring,1.3039025310421897,5
disparity,equitable,1.7327480877944175,14
disparity,equity,1.7622101205247338,10
disparity,evaluates,1.5468487096525787,6
disparity,facility,0.5127749421220403,7
disparity,focus,0.4074144264642142,9
disparity,gis-based,1.785740617934928,5
disparity,higher,0.6406083136319253,10
disparity,highlighting,1.6803801022771014,6
disparity,inclusive,1.725331490139368,13
disparity,infrastructure,0.7784781078550461,14
disparity,intervention,0.7499047354109899,6
disparity,limitation,1.4862240878361441,6
disparity,lower,1.232950795069905,10
disparity,mobility,0.8996636646572694,16
disparity,model,0.3073309679072315,19
disparity,need,0.30692288791789185,14
disparity,offer,0.44823642098446925,6
disparity,older,1.4290656739961956,5
disparity,population,0.3797992594312409,15
disparity,proximity-based,1.9215421590939896,6
disparity,public,0.21267034967170242,16
disparity,remains,1.2467441172022409,5
disparity,resident,0.6043421356475309,16
disparity,spatial,0.40242688495317497,20
disparity,targeted,1.6947688397292013,5
disparity,walkable,0.1695230185154488,7
disparity,walking,0.4420058712338332,10
disparity,within,0.5223443931381911,21
disparity,zone,1.1005616070241593,6
distance,ensuring,0.5926279658896876,10
distance,environment,0.021381282648931514,51
distance,equitable,0.17417566225471182,12
distance,equity,0.0011134308735540185,7
distance,evaluates,0.2965776437673897,7
distance,facility,0.38131887222248034,25
distance,focused,0.3760418151216367,9
distance,gis-based,1.074466052782426,10
distance,higher,0.39933737772515865,32
distance,highlighting,0.5636404290164351,8
distance,identifying,0.2849270265474147,8
distance,inclusive,0.24086703675338408,12
distance,infrastructure,0.1361964141894954,30
distance,intervention,0.1186728779320242,13
distance,limitation,0.48726745023186113,9
distance,link,0.12472738684073056,7
distance,lower,0.09089331382494849,13
distance,market,0.20696548507770263,7
distance,mobility,0.24901372132120195,34
distance,model,0.14812498505476948,66
distance,need,0.0011134308735540185,42
distance,offer,0.2965776437673899,21
distance,older,0.20696548507770263,6
distance,poor,0.6000080731873098,8
distance,population,0.1591476107272099,49
distance,proximity-based,0.3347988565875878,5
distance,reduced,0.5636404290164351,10
distance,remains,0.7177911088436933,12
distance,resident,0.2774792694053607,47
distance,share,0.8470028403236997,11
distance,show,0.1212707639728196,38
distance,simple,0.612430593185867,6
distance,spatial,0.1611559490464086,64
distance,speed,1.1697762325867505,11
distance,strongly,0.024643928283748225,5
distance,targeted,0.2903470940167538,5
distance,threshold,0.7704348423291154,13
distance,transition,0.024643928283748007,7
distance,vehicle,0.774949522683642,18
distance,walkable,0.07728766176917007,26
distance,walking,0.9246537745537657,66
distance,within,0.24778747959795785,65
distance,zone,0.38928704187165725,12
dynamic,environment,0.015411115662427892,17
dynamic,equitable,0.3913490465824179,5
dynamic,focus,0.09563480243337279,9
dynamic,identify,0.3440961617318722,7
dynamic,intervention,0.5922757912074067,7
dynamic,lower,0.4103455472730727,6
dynamic,market,0.9631353701380958,5
dynamic,mobility,0.2131905911850171,11
dynamic,model,0.30920890273143176,26
dynamic,objective,0.16820549526820797,6
dynamic,offer,0.1364567969536278,6
dynamic,population,0.13255815653797037,16
dynamic,reduced,0.9631353701380958,5
dynamic,resident,0.0048804391649083486,12
dynamic,spatial,0.27296881771628817,24
dynamic,walkable,0.2144183384233399,10
dynamic,within,0.11048131055036697,19
dynamic,zone,0.6064604261993634,5
ensuring,environment,0.2461382951867365,13
