T1,T2,T3,T4,T5,T6,dominant_topic
0.7355010889690015,0.0010764195958007797,0.07727614397315906,0.0010705908853126623,0.001076583791733227,0.1839991727849928,T1
0.001325058320757287,0.0013221026126258198,0.0013189492665460084,0.993335976007502,0.0013515472051955826,0.0013463665873733317,T4
0.002082539964896608,0.14051436771929224,0.12092706215650578,0.6849093605613468,0.0020690139844811994,0.04949765561347749,T4
0.9893709900311355,0.002119970488723698,0.002125935590549804,0.00212949690246767,0.0021192204750781385,0.002134386512045284,T1
0.4279537612934894,0.08509628292479228,0.30334028350553266,0.12347433565458599,0.05890593574071546,0.0012294008808844431,T1
0.4941537295661466,0.16817269571448082,0.001377999441887241,0.18088655188968675,0.12802078859877775,0.027388234789020954,T1
0.1287248307634432,0.16534866650548743,0.314415203373595,0.20942975805392003,0.18070196275955988,0.0013795785439945263,T3
0.0016193804060600113,0.0016122947832854092,0.0016125217230177295,0.9919390193511353,0.0016067203168012216,0.0016100634197003239,T4
0.09835506973554527,0.002005383927634019,0.48345558026174823,0.31156457073690136,0.1026275828214539,0.00199181251671723,T3
0.7259350902559351,0.10959378214506507,0.13884196402534515,0.001552833670817432,0.022519538500381433,0.0015567914024557782,T1
0.8049742237658972,0.15693392334725836,0.0018719138688286312,0.0018721123705512798,0.0018647031802832069,0.03248312346718138,T1
0.5905781376598123,0.0012111640327432058,0.0012130952054512734,0.08526919689905206,0.0012061905497128638,0.3205222156532284,T1
0.8644299137873807,0.0014417293285727299,0.0014354326733782624,0.12982011729330223,0.0014394429123983016,0.0014333640049679149,T1
0.36234609501395526,0.0017183164759272242,0.4890485171545104,0.1434559033976725,0.001715479435620483,0.0017156885223142259,T3
0.2646458429216772,0.16921405838118855,0.0790457402264877,0.4844219978616679,0.0013368481803685839,0.001335512428610069,T4
0.6727644838134642,0.11211481246756075,0.0014134972398815095,0.21088175300872375,0.0014119437758239527,0.0014135096945457658,T1
0.22986747087040407,0.10646347762408043,0.0018828393835972927,0.6141028962065301,0.0018843715123219552,0.04579894440306625,T4
0.3587598388175882,0.2137773239809728,0.12906334331713287,0.2951247414821733,0.0016379251712306205,0.0016368272309022244,T1
0.5039570816717692,0.03571062084868702,0.0011663635605292987,0.34133887724286105,0.0011655109202681766,0.11666154575588517,T1
0.09182302022225618,0.18113762094016472,0.0016511585469076349,0.567960290165267,0.0016513718938895006,0.1557765382315149,T4
0.2724058268713363,0.0018711416957738008,0.270588933614078,0.27325735399092477,0.08266135486813544,0.09921538895975163,T4
0.6611175601670432,0.0014149829065876092,0.0014174655796316518,0.0014144438132332434,0.0014181205780207217,0.3332174269554836,T1
0.6773321239651079,0.001389977258483149,0.26328221938685553,0.0013920858838217956,0.05519974401369509,0.0014038494920365653,T1
0.6679594835833803,0.0014466415278023437,0.1796149345678067,0.10805078746410962,0.04148144601386202,0.001446706843039014,T1
0.6285959973124892,0.09723492648401483,0.0013902725040724876,0.26999942887664236,0.0013877952337067862,0.001391579589074353,T1
0.6068409133516012,0.001851366311902451,0.0018511030347143419,0.14615375113559684,0.12029340114968524,0.12300946501650015,T1
0.1827681949870214,0.4609686993294201,0.07886641634651882,0.0016641231773389309,0.001660107165231461,0.27407245899446925,T2
0.5992487406901744,0.001421943732419295,0.001412792532890163,0.3001739298185087,0.0014187761211103575,0.09632381710489703,T1
0.4464676777842427,0.3672174830718412,0.00153169368863535,0.0015282974859530285,0.0015247030920697215,0.18173014487725817,T1
0.21805313786799288,0.0029928940954044763,0.0029859796410915047,0.3773017534439674,0.3956724579912993,0.0029937769602444517,T5
0.41595822737727944,0.0018116948339117602,0.0018045407853759076,0.5768178974980918,0.0018031331948195248,0.0018045063105215876,T4
0.7146433659793515,0.0011160911335861424,0.0011122985210969747,0.2253335381064527,0.0011099548546238524,0.05668475140488886,T1
0.2506840211315876,0.07297083146446395,0.37895258157660094,0.20591052213095318,0.001173849383017462,0.09030819431337664,T3
0.7706009040034126,0.001358038677774029,0.0969739209577254,0.029490185575584492,0.10022410978411553,0.0013528410013881245,T1
0.8314795903687217,0.0018257256268192506,0.16120903994102515,0.001830009690500342,0.001833312659591269,0.0018223217133425448,T1
