doi
10.1001/jama.2016.5898
10.1002/2017JD026702
10.1002/2475-8876.12423
10.1002/2475-8876.12449
10.1002/2475-8876.12459
10.1002/ad.1438
10.1002/ad.1621
10.1002/cpe.5179
10.1002/eet.583
10.1002/joc.2292
10.1002/joc.4747
10.1002/joc.6140
10.1002/pan3.70081
10.1002/rra.3138
10.1002/sd.3310
10.1002/sd.433
10.1002/sd.70153
10.1007/s00168-007-0141-7
10.1007/s00168-011-0443-7
10.1007/s00168-014-0632-2
10.1007/s00168-022-01119-9
10.1007/s00168-022-01185-z
10.1007/s00168-025-01403-4
10.1007/s00267-017-0950-0
10.1007/s00484-006-0047-6
10.1007/s00484-024-02639-z
10.1007/s00712-017-0561-5
10.1007/s00784-024-06115-1
10.1007/s10037-017-0115-x
10.1007/s10037-025-00252-0
10.1007/s10113-011-0271-4
10.1007/s10460-023-10472-0
10.1007/s10531-025-03152-4
10.1007/s10584-016-1693-2
10.1007/s10661-006-7245-x
10.1007/s10661-011-2235-z
10.1007/s10661-014-3855-x
10.1007/s10661-022-09884-y
10.1007/s10666-023-09878-1
10.1007/s10668-014-9604-z
10.1007/s10668-014-9609-7
10.1007/s10668-021-01280-9
10.1007/s10668-023-03023-4
10.1007/s10668-024-05246-5
10.1007/s10668-024-05344-4
10.1007/s10668-025-06744-w
10.1007/s10668-025-06985-9
10.1007/s10680-022-09622-7
10.1007/s10708-020-10262-9
10.1007/s10708-023-10830-9
10.1007/s10708-024-11090-x
10.1007/s10708-024-11165-9
10.1007/s10708-025-11335-3
10.1007/s10708-025-11468-5
10.1007/s10901-011-9246-5
10.1007/s10901-021-09856-7
10.1007/s10901-025-10249-3
10.1007/s10955-008-9591-2
10.1007/s10980-012-9811-7
10.1007/s10980-020-01112-7
10.1007/s10980-024-02009-5
10.1007/s11027-016-9704-1
10.1007/s11067-025-09669-z
10.1007/s11067-025-09670-6
10.1007/s11067-025-09683-1
10.1007/s11069-012-0456-2
10.1007/s11069-014-1583-8
10.1007/s11069-016-2263-7
10.1007/s11069-019-03802-1
10.1007/s11104-022-05728-3
10.1007/s11113-019-09550-1
10.1007/s11116-013-9462-9
10.1007/s11116-024-10520-6
10.1007/s11252-012-0268-x
10.1007/s11252-014-0359-y
10.1007/s11252-015-0455-7
10.1007/s11252-019-0833-7
10.1007/s11252-023-01451-8
10.1007/s11269-025-04150-5
10.1007/s11270-025-08505-x
10.1007/s11355-019-00380-z
10.1007/s11356-020-09305-y
10.1007/s11367-020-01861-2
10.1007/s11430-007-0127-4
10.1007/s11442-019-1651-9
10.1007/s11524-024-00850-2
10.1007/s11625-011-0152-2
10.1007/s11625-023-01322-3
10.1007/s11708-018-0577-8
10.1007/s11769-012-0547-8
10.1007/s12061-010-9053-5
10.1007/s12061-015-9139-1
10.1007/s12061-023-09518-x
10.1007/s12061-024-09591-w
10.1007/s12061-025-09722-x
10.1007/s12076-016-0181-7
10.1007/s12076-023-00347-7
10.1007/s12205-023-0440-2
10.1007/s12524-022-01590-z
10.1007/s12524-022-01602-y
10.1007/s12665-018-7429-z
10.1007/s13280-024-01999-5
10.1007/s40333-024-0097-9
10.1007/s40572-025-00478-7
10.1007/s40808-020-00990-9
10.1007/s40808-021-01095-7
10.1007/s41324-024-00601-0
10.1007/s41810-025-00305-4
10.1007/s42001-024-00258-7
10.1007/s43762-021-00026-7
10.1007/s43762-024-00152-y
10.1016/0264-8377(96)84555-8
10.1016/0376-8716(90)90152-5
10.1016/S0140-6736(16)30066-6
10.1016/S0140-6736(16)30067-8
10.1016/S0169-2046(00)00035-9
10.1016/S0169-2046(00)00040-2
10.1016/S0169-2046(01)00192-X
10.1016/S0169-2046(01)00221-3
10.1016/S0169-2046(01)00228-6
10.1016/S0169-2046(02)00198-6
10.1016/S0197-3975(03)00015-8
10.1016/S0264-2751(00)00008-1
10.1016/S0264-2751(00)00056-1
10.1016/S0264-2751(03)00013-1
10.1016/S0264-2751(97)00005-X
10.1016/S0264-8377(99)00010-1
